Wage (mean wage per hour),Educ (years),Exper (years),Race,Gender,Marital status
3.0999999046325684,11,2,white,female,single
3.240000009536743,12,22,white,female,married
3.0,11,2,white,male,single
6.0,8,44,white,male,married
5.300000190734863,12,7,white,male,married
8.75,16,9,white,male,married
11.25,18,15,white,male,single
5.0,12,5,white,female,single
3.5999999046325684,12,26,white,female,single
18.18000030517578,17,22,white,male,married
6.25,16,8,white,female,single
8.130000114440918,13,3,white,female,single
8.770000457763672,12,15,white,male,married
5.5,12,18,white,male,single
22.200000762939453,12,31,white,male,married
17.329999923706055,16,14,white,male,married
7.5,12,10,white,female,married
10.630000114440918,13,16,white,female,single
3.5999999046325684,12,13,white,female,married
4.5,12,36,white,female,married
6.880000114440918,12,11,white,female,single
8.479999542236328,12,29,white,male,married
6.329999923706055,16,9,white,female,single
0.5299999713897705,12,3,white,female,single
6.0,11,37,nonwhite,female,single
9.5600004196167,16,3,nonwhite,male,married
7.78000020980835,16,11,white,male,married
12.5,16,31,white,male,married
12.5,15,30,white,male,married
3.25,8,9,white,female,married
13.0,14,23,white,male,married
4.5,14,2,white,female,single
9.68000030517578,13,16,white,female,single
5.0,12,7,white,female,single
4.679999828338623,12,3,white,female,single
4.269999980926514,16,22,nonwhite,female,married
6.150000095367432,12,15,nonwhite,female,married
3.509999990463257,4,39,white,male,married
3.0,14,3,white,female,married
6.25,12,11,white,female,single
7.809999942779541,12,3,white,female,married
10.0,12,20,nonwhite,female,married
4.5,14,16,white,female,married
4.0,11,45,white,female,married
6.380000114440918,13,11,white,female,single
13.699999809265137,15,20,white,male,married
1.6699999570846558,10,1,white,male,single
2.930000066757202,12,36,white,female,married
3.650000095367432,14,9,white,male,single
2.900000095367432,12,15,white,female,married
1.6299999952316284,12,18,white,female,single
8.600000381469727,16,3,white,female,single
5.0,12,15,white,male,married
6.0,12,7,white,male,married
2.5,12,2,white,male,single
3.25,15,3,white,male,single
3.400000095367432,16,1,white,female,single
10.0,8,13,nonwhite,male,single
21.6299991607666,18,8,white,female,single
4.380000114440918,16,7,white,male,single
11.710000038146973,13,40,white,female,single
12.390000343322754,14,42,white,male,single
6.25,10,36,white,male,single
3.7100000381469727,10,13,nonwhite,female,single
7.78000020980835,14,9,white,male,single
19.979999542236328,14,26,white,male,married
6.25,16,7,nonwhite,female,married
10.0,12,25,white,male,married
5.710000038146973,16,10,white,male,married
2.0,12,3,white,female,single
5.710000038146973,16,3,white,female,single
13.079999923706056,17,17,nonwhite,male,married
4.909999847412109,12,17,white,male,married
2.9100000858306885,12,20,white,female,married
3.75,12,7,white,female,married
11.899999618530272,13,24,white,male,married
4.0,12,28,white,female,married
3.0999999046325684,12,2,white,female,single
8.449999809265137,12,19,white,male,married
7.139999866485596,18,13,white,male,married
4.5,9,22,white,male,married
4.650000095367432,16,3,white,male,single
2.900000095367432,10,4,white,female,single
6.670000076293945,12,7,white,male,single
3.5,12,6,nonwhite,female,single
3.259999990463257,12,13,white,female,married
3.25,12,14,white,female,married
8.0,12,14,white,female,single
9.850000381469728,8,40,nonwhite,male,married
7.5,12,11,white,male,married
5.909999847412109,12,14,white,male,married
11.760000228881836,14,40,white,male,married
3.0,12,1,white,female,single
4.809999942779541,12,2,white,female,single
6.5,12,4,white,female,single
4.0,9,19,white,female,married
3.5,13,1,white,male,single
13.15999984741211,12,34,white,male,married
4.25,14,5,white,male,married
3.5,12,3,white,male,single
5.130000114440918,15,6,white,female,single
3.75,12,14,white,female,married
4.5,12,35,white,female,married
7.630000114440918,12,8,white,female,single
15.0,14,7,nonwhite,male,married
6.849999904632568,15,11,white,female,married
13.329999923706056,12,14,white,male,married
6.670000076293945,12,35,white,male,single
2.5299999713897705,12,46,white,female,single
9.800000190734863,17,7,white,male,married
3.369999885559082,11,45,white,male,married
24.979999542236328,18,29,white,male,married
5.400000095367432,12,6,white,male,married
6.110000133514404,14,15,white,male,married
4.199999809265137,14,33,white,female,married
3.75,10,15,white,male,single
3.5,14,5,white,female,married
3.640000104904175,12,7,white,male,single
